feature,score,Linear,K-Nearest,Support Vector,Random Forest,AdaBoost
C3D,mean,0.276,0.183,0.248,0.304,0.257
C3D,std,0.016,0.019,0.026,0.018,0.012
HMP,mean,-0.007,0.199,0.278,0.295,0.244
HMP,std,0.03,0.01,0.022,0.007,0.016
LBP,mean,0.181,0.121,0.25,0.279,0.19
LBP,std,0.017,0.03,0.026,0.025,0.028
C3D + LBP,mean,0.236,0.219,0.264,0.316,0.26
C3D + LBP,std,0.016,0.022,0.029,0.021,0.013
C3D + HMP,mean,0.007,0.199,0.292,0.334,0.269
C3D + HMP,std,0.023,0.028,0.02,0.008,0.015
LBP + HMP,mean,-0.007,0.222,0.29,0.325,0.259
LBP + HMP,std,0.026,0.022,0.018,0.014,0.008
